+-------------------------------------------------+-----------+-----------+
|                    File Name                    | File Size | Row Count |
+-------------------------------------------------+-----------+-----------+
| combined_track_field_performances_2001_2026.csv |  2.21 GB  |  13328122 |
|         individual_events_2001-2026.csv         |  2.18 GB  |  13197186 |
|              sprints_2001-2026.csv              | 436.87 MB |   2580356 |
|              sprints_2001-2026.csv              | 423.79 MB |   2525969 |
|        2025_track_field_performances.csv        | 287.67 MB |   1610461 |
|        2024_track_field_performances.csv        | 254.89 MB |   1427049 |
|               jumps_2001-2026.csv               | 216.46 MB |   1322028 |
|             middlelong_2001-2026.csv            | 228.16 MB |   1299937 |
|        2023_track_field_performances.csv        | 197.54 MB |   1102212 |
|             middlelong_2001-2026.csv            | 194.55 MB |   1093867 |
|               jumps_2001-2026.csv               | 173.97 MB |   1076636 |
|               throws_2001-2026.csv              | 142.12 MB |    864939 |
|        2026_track_field_performances.csv        | 148.47 MB |    823972 |
|             100-metres_2001-2026.csv            | 129.24 MB |    762019 |
|        2022_track_field_performances.csv        | 134.84 MB |    753955 |
|        2019_track_field_performances.csv        | 117.80 MB |    730315 |
|             200-metres_2001-2026.csv            | 120.23 MB |    710730 |
|             200-metres_2001-2026.csv            | 117.87 MB |    686050 |
|               throws_2001-2026.csv              | 108.69 MB |    669310 |
|    top_track_field_performances_all_time.csv    | 112.69 MB |    658208 |
|        2018_track_field_performances.csv        | 104.78 MB |    656557 |
|        2021_track_field_performances.csv        | 115.23 MB |    644467 |
|             100-metres_2001-2026.csv            | 110.82 MB |    643663 |
|             400-metres_2001-2026.csv            | 106.19 MB |    637680 |
|        2017_track_field_performances.csv        | 100.36 MB |    626861 |
|             400-metres_2001-2026.csv            | 102.65 MB |    620681 |
|        2014_track_field_performances.csv        |  96.60 MB |    602079 |
|        2015_track_field_performances.csv        |  96.56 MB |    602002 |
|        2016_track_field_performances.csv        |  95.05 MB |    592121 |
|        2013_track_field_performances.csv        |  90.75 MB |    565634 |
|              hurdles_2001-2026.csv              | 102.36 MB |    557151 |
|             60-metres_2001-2026.csv             |  91.90 MB |    552957 |
|        2012_track_field_performances.csv        |  88.79 MB |    551713 |
|             long-jump_2001-2026.csv             |  85.35 MB |    520454 |
|              hurdles_2001-2026.csv              |  89.55 MB |    498843 |
|        2011_track_field_performances.csv        |  79.93 MB |    495810 |
|             800-metres_2001-2026.csv            |  75.88 MB |    441166 |
|        2010_track_field_performances.csv        |  69.55 MB |    431907 |
|        2020_track_field_performances.csv        |  69.59 MB |    393811 |
|             60-metres_2001-2026.csv             |  63.98 MB |    385723 |
|         100-metres-hurdles_2001-2026.csv        |  63.39 MB |    343182 |
|             long-jump_2001-2026.csv             |  55.75 MB |    342991 |
|             800-metres_2001-2026.csv            |  59.73 MB |    340880 |
|              shot-put_2001-2026.csv             |  51.66 MB |    321613 |
|            1500-metres_2001-2026.csv            |  53.34 MB |    305352 |
|             high-jump_2001-2026.csv             |  47.58 MB |    295059 |
|         110-metres-hurdles_2001-2026.csv        |  51.85 MB |    287465 |
|            1500-metres_2001-2026.csv            |  48.23 MB |    274702 |
|             high-jump_2001-2026.csv             |  42.99 MB |    272517 |
|        2009_track_field_performances.csv        |  43.09 MB |    269089 |
|             pole-vault_2001-2026.csv            |  41.92 MB |    261282 |
|            road-running_2001-2026.csv           |  41.02 MB |    256793 |
|            triple-jump_2001-2026.csv            |  41.62 MB |    245233 |
|             pole-vault_2001-2026.csv            |  39.18 MB |    244773 |
|              shot-put_2001-2026.csv             |  38.65 MB |    244508 |
|            triple-jump_2001-2026.csv            |  36.04 MB |    216355 |
|         400-metres-hurdles_2001-2026.csv        |  38.97 MB |    213969 |
|         400-metres-hurdles_2001-2026.csv        |  37.70 MB |    211378 |
|            hammer-throw_2001-2026.csv           |  33.59 MB |    203183 |
|            discus-throw_2001-2026.csv           |  29.02 MB |    173451 |
|           javelin-throw_2001-2026.csv           |  27.85 MB |    166692 |
|            road-running_2001-2026.csv           |  27.26 MB |    166229 |
|            5000-metres_2001-2026.csv            |  28.98 MB |    166153 |
|            discus-throw_2001-2026.csv           |  24.85 MB |    149970 |
|            3000-metres_2001-2026.csv            |  25.85 MB |    146928 |
|           javelin-throw_2001-2026.csv           |  22.97 MB |    138826 |
|            hammer-throw_2001-2026.csv           |  22.22 MB |    136006 |
|            relay_events_2001-2026.csv           |  22.73 MB |    130936 |
|            3000-metres_2001-2026.csv            |  21.96 MB |    124697 |
|            5000-metres_2001-2026.csv            |  20.50 MB |    116384 |
|             race-walks_2001-2026.csv            |  20.18 MB |    108577 |
|        2007_track_field_performances.csv        |  16.00 MB |     99067 |
|        2004_track_field_performances.csv        |  15.62 MB |     97248 |
|      3000-metres-steeplechase_2001-2026.csv     |  18.89 MB |     96985 |
|             race-walks_2001-2026.csv            |  17.70 MB |     95881 |
|        2006_track_field_performances.csv        |  15.31 MB |     94922 |
|        2005_track_field_performances.csv        |  15.13 MB |     94037 |
|        2003_track_field_performances.csv        |  14.80 MB |     92169 |
|           half-marathon_2001-2026.csv           |  14.71 MB |     89616 |
|              marathon_2001-2026.csv             |  13.39 MB |     87870 |
|        2008_track_field_performances.csv        |  14.18 MB |     87195 |
|        2002_track_field_performances.csv        |  13.69 MB |     85850 |
|      3000-metres-steeplechase_2001-2026.csv     |  16.37 MB |     83064 |
|        2001_track_field_performances.csv        |  12.67 MB |     79175 |
|            10000-metres_2001-2026.csv           |  11.76 MB |     67843 |
|           half-marathon_2001-2026.csv           |  9.26 MB  |     55301 |
|           10-kilometres_2001-2026.csv           |  8.92 MB  |     54733 |
|              marathon_2001-2026.csv             |  8.43 MB  |     53684 |
|              one-mile_2001-2026.csv             |  9.20 MB  |     51796 |
|             heptathlon_2001-2026.csv            |  8.15 MB  |     47425 |
|          combined-events_2001-2026.csv          |  8.15 MB  |     47425 |
|           10-kilometres_2001-2026.csv           |  7.03 MB  |     42121 |
|              one-mile_2001-2026.csv             |  7.09 MB  |     39162 |
|             300-metres_2001-2026.csv            |  6.53 MB  |     38093 |
|            10000-metres_2001-2026.csv           |  6.21 MB  |     35411 |
|             decathlon_2001-2026.csv             |  5.57 MB  |     33245 |
|          combined-events_2001-2026.csv          |  5.57 MB  |     33245 |
|             300-metres_2001-2026.csv            |  4.84 MB  |     29025 |
|       5000-metres-race-walk_2010-2026.csv       |  5.42 MB  |     28982 |
|      10-kilometres-race-walk_2001-2026.csv      |  4.47 MB  |     24944 |
|      2000-metres-steeplechase_2001-2026.csv     |  4.81 MB  |     24731 |
|      20-kilometres-race-walk_2001-2026.csv      |  4.48 MB  |     24344 |
|       5000-metres-race-walk_2010-2026.csv       |  3.83 MB  |     20495 |
|      10-kilometres-race-walk_2001-2026.csv      |  3.55 MB  |     19541 |
|      20-kilometres-race-walk_2001-2026.csv      |  3.59 MB  |     19273 |
|            1000-metres_2001-2026.csv            |  3.30 MB  |     18971 |
|             55-metres_2001-2026.csv             |  2.88 MB  |     17629 |
|       10000-metres-race-walk_2010-2026.csv      |  3.09 MB  |     16377 |
|             600-metres_2002-2026.csv            |  2.72 MB  |     15575 |
|             55-metres_2001-2026.csv             |  2.48 MB  |     15442 |
|             600-metres_2002-2026.csv            |  2.49 MB  |     14230 |
|       5-kilometres-race-walk_2001-2026.csv      |  2.50 MB  |     14074 |
|       10000-metres-race-walk_2010-2026.csv      |  2.41 MB  |     12563 |
|            1000-metres_2001-2026.csv            |  2.25 MB  |     12559 |
|       3000-metres-race-walk_2010-2026.csv       |  2.25 MB  |     11759 |
|      2000-metres-steeplechase_2001-2026.csv     |  1.81 MB  |      9597 |
|           10-miles-road_2001-2025.csv           |  1.18 MB  |      7267 |
|            5-kilometres_2018-2026.csv           |  1.04 MB  |      6316 |
|           15-kilometres_2001-2026.csv           |  0.96 MB  |      5836 |
|           15-kilometres_2001-2026.csv           |  0.90 MB  |      5340 |
|           20-kilometres_2001-2025.csv           |  0.82 MB  |      5155 |
|      50-kilometres-race-walk_2001-2022.csv      |  0.87 MB  |      4677 |
|             50-metres_2001-2026.csv             |  0.68 MB  |      4284 |
|            5-kilometres_2018-2026.csv           |  0.68 MB  |      4127 |
|           10-miles-road_2001-2025.csv           |  0.69 MB  |      4005 |
|             two-miles_2002-2026.csv             |  0.55 MB  |      3070 |
|             50-metres_2001-2026.csv             |  0.37 MB  |      2349 |
|             two-miles_2001-2026.csv             |  0.37 MB  |      2109 |
|      35-kilometres-race-walk_2010-2026.csv      |  0.35 MB  |      1863 |
|           20-kilometres_2001-2025.csv           |  0.28 MB  |      1651 |
|            2000-metres_2001-2026.csv            |  0.24 MB  |      1401 |
|       20000-metres-race-walk_2010-2026.csv      |  0.26 MB  |      1354 |
|       3000-metres-race-walk_2010-2026.csv       |  0.21 MB  |      1046 |
|            2000-metres_2001-2026.csv            |  0.17 MB  |      1038 |
|      35-kilometres-race-walk_2018-2026.csv      |  0.20 MB  |      1029 |
|       20000-metres-race-walk_2010-2025.csv      |  0.19 MB  |       964 |
|       5-kilometres-race-walk_2003-2026.csv      |  0.14 MB  |       781 |
|      50-kilometres-race-walk_2014-2021.csv      |  0.07 MB  |       392 |
+-------------------------------------------------+-----------+-----------+
